Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
28.431,0.,400.0056000784,2500.2187691423,41861.242998507,400.0056000784,200.0014000098,100.00035000123,0.,0.,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,499688.90270413,5701.1373769067,0.,0.,0.,1200.0504021169,0.,0
29.16,0.,600.01260026461,2700.255174114,37649.546803594,0.,200.0014000098,600.01260026461,0.,20.00001400001,4600.7407192558,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,504866.24504585,7301.8656266676,0.,0.,0.,1100.0423516305,0.,0
29.889,300.00315003308,600.01260026461,1900.1263584028,39454.407628119,200.0014000098,100.00035000123,600.01260026461,0.,0.,4100.5884344403,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,474656.60084267,6801.6187852709,0.,0.,0.,1300.0591526914,0.,0
30.618,100.00035000123,400.0056000784,1200.0504021169,37449.020768186,0.,500.00875015313,300.00315003308,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,475896.85614261,6701.5715185211,0.,0.,0.,1000.035001225,0.,0
31.347,100.00035000123,800.02240062722,1900.1263584028,42463.01511443,300.00315003308,0.,300.00315003308,20.00001400001,40.000056000078,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,463808.88309862,7802.1299814849,100.00035000123,0.,0.,2000.1400098007,0.,0
32.076,0.,1200.0504021169,2600.2366215326,42763.910664488,500.00875015313,100.00035000123,400.0056000784,0.,20.00001400001,4900.8404941447,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,437395.04245006,7702.0757094037,0.,0.,0.,1500.0787541346,0.,0
32.805,100.00035000123,2400.2016169358,1700.1011560188,41760.950106681,300.00315003308,0.,300.00315003308,0.,40.000056000078,3600.4536571608,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,200.0014000098,0.,0.,0.,0.,0.,0.,0.,0.,441209.6964589,7201.8148573441,0.,0.,0.,1300.0591526914,0.,0
33.534,0.,1600.0896050179,1800.1134071446,37649.546803594,200.0014000098,0.,300.00315003308,40.000056000078,20.00001400001,2900.2943798796,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,400331.7845996,5801.1776390607,0.,0.,0.,800.02240062722,0.,0
34.263,100.00035000123,1900.1263584028,2500.2187691423,39955.798272287,300.00315003308,0.,200.0014000098,60.000126000265,20.00001400001,4800.806535498,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,387382.00913622,5701.1373769067,0.,0.,0.,1100.0423516305,0.,0
34.992,0.,1300.0591526914,1900.1263584028,41861.242998507,100.00035000123,200.0014000098,400.0056000784,0.,40.000056000078,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,100.00035000123,0.,0.,0.,0.,389334.01178746,6901.6667525207,0.,0.,0.,1500.0787541346,0.,0
