Acquisition date,24/08/21,,,,,,,,,,,,,,
Acquisition time,10:56:04,,,,,,,,,,,,,,
Time,Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
31.8473,250,0,50,200366.8,1600.09,69867.6,150,200,14757.62,12205.22,0,0,1050.04,50,450.01
32.1474,250,0,250,201279.24,2200.17,72279.36,250,50,15908.86,12355.35,0,0,1400.07,100,400.01
32.4474,200,0,100,200468.18,1900.12,74389.97,300,100,15808.75,10704.02,50,0,1700.1,100,300
32.7474,300,0,50,200366.8,2600.23,72781.86,100,200,15508.42,11104.32,100,0,1000.04,50,550.01
33.0474,200,0,200,199454.41,1800.11,74691.52,50,50,14457.32,13506.39,50,0,1300.06,100,750.02
33.3474,50,0,50,195602.78,2100.15,75596.18,150,100,12305.3,11254.44,0,0,1400.07,50,750.02
33.6474,150,0,100,203915.47,2100.15,67054.39,100,150,13005.92,10653.98,50,0,1200.05,150,650.02
33.9474,300,0,150,195602.78,2500.21,68862.82,50,100,15558.47,12255.26,0,0,1050.04,100,450.01
34.2475,450.01,0,100,189118.1,2500.21,73585.89,150,150,11955,9202.97,100,0,1000.04,50,650.02
34.5475,350,0,0,204118.27,2000.14,72882.36,150,50,12855.78,11254.44,50,0,1500.08,100,750.02
34.8475,250,50,50,197629.83,1400.07,71475.4,50,100,15158.04,11254.44,0,0,1200.05,50,450.01
35.1475,300,0,0,196616.27,1200.05,74188.95,50,200,15758.69,10453.83,50,0,1300.06,50,450.01
35.4475,250,0,100,193677.34,2200.17,71676.39,150,150,13706.58,12205.22,0,0,1550.09,50,450.01
35.7475,350,0,150,203307.07,2000.14,71073.43,0,100,14907.78,13055.97,0,50,1150.05,100,450.01
36.0476,300,0,50,198339.37,1700.1,75194.1,150,100,14006.87,10904.17,0,0,2050.15,50,250
36.3476,400.01,0,100,199353.04,1700.1,71374.91,50,50,15608.53,11804.88,50,50,1450.07,150,350
36.6476,100,0,150,190941.64,2700.25,66250.72,100,50,14207.06,11404.56,50,0,1400.07,150,650.02
36.9476,250,0,50,205537.99,2000.14,68561.4,250,0,16910.01,11604.72,0,0,1150.05,0,650.02
37.2476,450.01,0,100,197933.91,2100.15,71173.92,50,300,13456.34,12205.22,50,0,1100.04,50,550.01
37.5476,450.01,0,50,194184.01,2000.14,73485.39,150,0,13956.82,10754.05,50,0,950.03,50,350
37.8476,100,0,200,193880,1500.08,72379.86,100,100,14457.32,11404.56,0,0,1350.06,50,450.01
38.1477,200,0,100,201988.94,1300.06,68259.99,100,50,14407.26,10253.68,50,0,1550.09,0,600.01
38.4477,250,0,0,199353.04,1700.1,70872.45,150,100,16059.03,11104.32,0,0,1250.06,100,350
38.7477,300,0,50,199961.28,2100.15,71575.89,50,50,15208.09,11404.56,50,0,1000.04,50,750.02
39.0477,300,0,100,198339.37,2000.14,67054.39,250,150,14357.21,11604.72,50,0,1200.05,0,350
39.3477,300,0,150,194893.37,1800.11,73384.88,250,100,14257.12,9503.17,50,0,1300.06,50,400.01
39.6477,300,0,0,196210.86,2000.14,72078.36,100,150,14457.32,12105.14,0,50,1500.08,150,900.03
39.9478,150,0,150,198440.72,2600.23,74591,100,0,13656.53,10353.76,50,0,1150.05,200,550.01
40.2478,300,0,50,195602.78,2100.15,75797.22,150,50,14257.12,11854.93,0,0,1400.07,100,350
40.5478,300,0,200,198947.57,1200.05,73686.4,50,200,15358.26,10854.13,0,50,1850.12,300,29932.64
40.8478,27776.14,6151.28,14607.25,23853670.31,1978816.02,1536469.04,24220.42,23619.44,456894.82,41710.91,422773.63,289332.28,156209.29,49687.32,365097.56
41.1478,282582.06,40405.36,53497.13,131437461.83,12301642.09,8834424.1,92195.13,78112.23,1669119.14,112542.36,1198174.12,829027.44,414238.18,130954.83,741104
41.4478,726255.52,85799.24,98176.64,288806654.81,22941021.25,16118386.29,150333.12,135285.36,2341614.77,122120.69,1865989.06,1315241.11,691266.11,216853.54,1155148.34
41.7478,1036117.48,130576.39,133755.55,418616244.67,31055630.69,19778165.87,225558.35,174252.66,3186232.2,155088.81,2228650.14,1623726.37,785824.02,235753,1251258.69
42.0479,1227121.97,146222.41,134764.7,434052399.7,34842404.83,24424537.92,237396.97,190507.51,3323872.59,163026.61,2471941.13,1890261.33,955681.84,284846.17,1430368.36
42.3479,1256798.89,156477.01,148496.01,509075267.29,39099238.4,27482965,259779.61,208911.23,3447957.01,189551.5,2678080.88,1786905.94,1039665.14,288723.78,1516755.08
42.6479,1349630.69,165777.95,169066.33,594129175.44,44540202.77,29530352.06,284389.53,234807.4,4154629.9,200499.71,3003527.6,2005222.72,1118025.59,341123.88,1737942.38
42.9479,1425976.83,194931.77,170229.63,637157252.6,49714244.91,31220014.61,321919.73,253522.12,4334811.54,216176.25,3255983.23,2200305.39,1146314.26,342865.33,1678415.04
43.2479,1442622.53,187384.74,167447.97,639088023.1,46565059.54,32837086.54,309858.64,248434.2,4244910.82,200905.36,2889360.11,2088606.12,1201153.42,344145.95,1672278.91
43.5479,1476786.96,196502.45,171848.3,662419978.56,46078105.69,29852849.67,309552.12,258153.69,4250634.6,205520.43,3074426.52,2084340.81,1153950.29,333187.6,1723136.52
43.8479,1505635.63,191031.15,165678.09,651273859.24,49513164.52,30074966.67,316603.44,264925.56,4369306.32,206890.01,3044036.94,2028777.31,1139223.54,334313.77,1783074.02
44.148,1451391.6,193513.24,179134.47,632810316.95,47384706.13,32314663.34,319414.72,249349.9,4343431.78,208970.02,3072038.71,2227018.9,1213766.6,352549.63,1570706.86
44.448,1533635.52,208718.82,179083.87,687566759.88,50581115.01,30579555.57,319210.23,262328.44,4526800.21,221811.82,2989246.24,2138500.34,1177912.7,359419.7,1751518.16
44.748,1579066.83,214906.88,180754.11,650796833.48,49107948.26,30797279.65,336703.15,256932.03,4638178.94,216480.83,2987358.74,2086553.58,1242621.68,369628.39,1799984.77
45.048,1583359.21,204662.46,188145.97,643157229.92,48803230.57,30633022.65,325090.01,261310.11,4349286.9,222471.97,3130126.85,2181885.96,1170372.75,354395,1580557.48
45.348,1514331.94,198529.36,183335.79,666109389.93,49051641.47,30465100.91,324271.8,259782.71,4427843.75,204353.85,2998729.25,2050622.72,1158284.47,345785.3,1658664.26
