D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a23.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:01:03 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
6.3994,2500.21,0.00,17009.91,0.00,500.01,12004.96,1000.03,1750.11,2000.14,26524.35,1000.03,2000.14,0.00,0.00,0.00,2500.22,55608.14,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5794,2000.14,0.00,14507.21,0.00,500.01,14507.24,4000.55,2000.14,1250.05,36044.96,0.00,3000.31,0.00,0.00,0.00,1500.08,71679.58,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.7595,1000.03,0.00,17009.91,0.00,500.01,12505.38,4500.70,750.02,2000.14,27025.28,0.00,5000.87,0.00,0.00,0.00,2500.22,69167.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.9395,1000.03,500.01,22016.60,0.00,500.01,13506.28,2000.14,1750.11,750.02,36546.22,0.00,5501.05,0.00,0.00,0.00,2500.22,57114.07,1000.04,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.1195,0.00,0.00,19012.38,1000.03,0.00,10003.44,1000.03,1250.05,1250.05,40556.91,0.00,4500.70,0.00,0.00,0.00,4500.71,70172.12,500.01,0.00,0.00,0.00,0.00,1000.04,500.01,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.2996,2000.14,0.00,15007.72,0.00,0.00,13506.28,1000.03,750.02,1750.11,31033.33,0.00,4000.56,0.00,0.00,500.01,3500.43,58118.11,500.01,0.00,0.00,0.00,0.00,1000.04,500.01,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.4796,1000.03,0.00,23018.15,0.00,0.00,9503.11,2000.14,1250.05,1250.05,36546.22,0.00,4000.56,0.00,0.00,500.01,1000.04,65148.38,500.01,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.6597,500.01,0.00,16509.34,0.00,1000.03,16509.37,1500.08,2250.17,1500.08,38551.43,500.01,5000.87,0.00,0.00,0.00,1500.08,69669.66,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.8397,500.01,500.01,19012.38,0.00,500.01,15508.27,0.00,1000.03,1500.08,38050.10,500.01,5501.05,0.00,0.00,0.00,4000.56,58118.11,1500.08,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00
8.0198,1000.03,0.00,21015.13,0.00,500.01,8502.49,3500.42,3000.31,1000.03,38551.43,0.00,6501.47,500.01,0.00,0.00,2000.14,61130.66,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.1998,500.01,500.01,21015.13,0.00,500.01,11504.55,4000.55,1250.05,1500.08,39052.77,500.01,3500.43,0.00,0.00,0.00,3500.43,61130.66,1500.08,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.3799,500.01,0.00,18011.11,0.00,1000.03,10503.80,2500.22,1500.08,250.00,35042.50,1000.03,6501.47,0.00,0.00,0.00,2500.22,64646.10,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5599,1500.08,0.00,14507.21,0.00,1000.03,9002.79,2500.22,1500.08,1000.03,34040.10,0.00,3500.43,0.00,0.00,0.00,3500.43,62134.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.7400,0.00,0.00,16509.34,0.00,500.01,9002.79,2000.14,750.02,250.00,34541.29,500.01,5000.87,0.00,0.00,0.00,2000.14,64646.10,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9200,2000.14,0.00,18511.74,0.00,0.00,13005.82,500.01,1000.03,500.01,34541.29,0.00,8002.23,0.00,0.00,500.01,2000.14,69167.24,3000.32,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.1000,500.01,0.00,22517.37,0.00,500.01,5501.04,1500.08,500.01,250.00,36044.96,0.00,2000.14,0.00,0.00,0.00,3000.32,59122.23,1000.04,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
