D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a24.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:06:06 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
6.0394,500.01,0.00,11504.54,0.00,1000.03,11004.17,3000.31,1500.08,2250.17,38050.10,500.01,2500.22,0.00,0.00,0.00,3000.32,71177.08,1000.04,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.2195,0.00,0.00,19513.04,0.00,500.01,10503.80,1000.03,1750.11,2000.14,32035.52,500.01,3500.43,0.00,0.00,0.00,4000.56,69669.66,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.3995,0.00,0.00,22517.37,0.00,500.01,11504.55,2500.22,3000.31,1500.08,32035.52,0.00,4000.56,500.01,0.00,0.00,3500.43,69669.66,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5795,1500.08,0.00,14507.21,0.00,1000.03,10503.80,2000.14,2250.17,750.02,38551.43,0.00,4500.70,0.00,0.00,0.00,2500.22,58620.16,1500.08,0.00,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.7596,2000.14,0.00,21015.13,0.00,0.00,11504.55,4000.55,2000.14,1500.08,34040.10,0.00,6001.25,0.00,0.00,0.00,6001.26,63139.38,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.9396,3000.31,0.00,23018.15,0.00,0.00,9503.11,1500.08,1000.03,1500.08,32035.52,0.00,6501.47,0.00,0.00,0.00,3000.32,73187.21,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.1197,1000.03,0.00,16509.34,0.00,500.01,11004.17,3500.42,500.01,1250.05,29029.17,0.00,2500.22,0.00,0.00,0.00,3000.32,65148.38,1000.04,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.2997,1500.08,0.00,19012.38,0.00,0.00,10503.80,2500.22,1250.05,2750.26,43565.66,0.00,3000.31,0.00,0.00,0.00,3000.32,73689.78,1500.08,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.4798,0.00,0.00,15508.24,0.00,500.01,11004.17,1500.08,1500.08,1500.08,32536.64,500.01,3000.31,0.00,0.00,0.00,1000.04,68162.41,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.6598,500.01,0.00,19513.04,0.00,500.01,9503.11,2000.14,1500.08,1000.03,30532.27,500.01,8502.51,0.00,0.00,0.00,1500.08,60126.41,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00
